reach_time,algo_time,percentage
73.3017,9051.4416,0.0081
73.3017,9051.9811,0.0081
73.3018,9053.0623,0.0081
73.3018,9065.9360,0.0081
73.3018,9079.6352,0.0081
73.3018,9080.8010,0.0081
73.3018,9095.3488,0.0081
73.3019,9095.8899,0.0081
73.3019,9122.2067,0.0080
73.3019,9135.7719,0.0080
73.3019,9136.4009,0.0080
73.3019,9166.1100,0.0080
73.3019,9166.6576,0.0080
73.3020,9179.8783,0.0080
73.3020,9207.4058,0.0080
73.3020,9236.3382,0.0079
73.3020,9236.8961,0.0079
73.3020,9250.2213,0.0079
73.3021,9263.9734,0.0079
73.3021,9277.2138,0.0079
73.3021,9320.9284,0.0079
73.3021,9322.2445,0.0079
73.3021,9335.3793,0.0079
73.3021,9348.2335,0.0078
73.3022,9376.5916,0.0078
73.3022,9389.5846,0.0078
73.3022,9390.2436,0.0078
73.3022,9390.8140,0.0078
73.3022,9404.4377,0.0078
73.3023,9430.6960,0.0078
73.3023,9448.2074,0.0078
73.3023,9448.7765,0.0078
73.3023,9462.5341,0.0077
73.3023,9475.9503,0.0077
73.3024,9477.0935,0.0077
73.3024,9492.9780,0.0077
73.3024,9493.5650,0.0077
73.3024,9506.8532,0.0077
73.3024,9537.5183,0.0077
73.3024,9564.7252,0.0077
73.3025,9565.3116,0.0077
73.3025,9565.8964,0.0077
73.3025,9579.1301,0.0077
73.3025,9580.4002,0.0077
73.3025,9608.0890,0.0076
73.3026,9608.7715,0.0076
73.3026,9621.7827,0.0076
73.3026,9635.5075,0.0076
73.3026,9665.2077,0.0076
73.3026,9678.2933,0.0076
73.3027,9678.9871,0.0076
73.3027,9692.7122,0.0076
73.3027,9706.0352,0.0076
73.3027,9735.5936,0.0075
73.3027,9761.1043,0.0075
73.3028,9761.7036,0.0075
73.3028,9775.5763,0.0075
73.3028,9776.1814,0.0075
73.3028,9789.9187,0.0075
73.3028,9817.5613,0.0075
73.3028,9818.2487,0.0075
73.3029,9818.8469,0.0075
73.3029,9832.5095,0.0075
73.3029,9846.1645,0.0074
